Element	Sample Constant	Sample Normal	Sample Normal x 10
MIR628	17255064361390068e-21	0.1576962895929761	1.576962895929761
RNU6-871P	17255064361390068e-21	-1.4298908460304782	-14.298908460304782
MIR626	17255064361390068e-21	-0.7411428513040423	-7.411428513040423
AC012314.7	17255064361390068e-21	-0.8544765430566474	-8.544765430566475
GHRLOS	17255064361390068e-21	-0.6546257699493717	-6.546257699493717
RNU6-35P	17255064361390068e-21	-0.08347801320735543	-0.8347801320735543
MIR5694	17255064361390068e-21	-0.9536394235754084	-9.536394235754084
RNU6-1157P	17255064361390068e-21	0.12406825619719745	1.2406825619719746
MIR6861	17255064361390068e-21	0.6025500837531323	6.0255008375313235
RNU4-85P	17255064361390068e-21	1.263468356027522	12.634683560275219
MIR6759	17255064361390068e-21	0.0136621388236869	0.136621388236869
MIR4491	17255064361390068e-21	-0.0690317968721098	-0.690317968721098
RNU6-1162P	17255064361390068e-21	-0.5975909806193642	-5.975909806193642
RNU1-63P	17255064361390068e-21	-0.1928927268882996	-1.928927268882996
hsa-mir-3158-1	17255064361390068e-21	-0.17521533761394067	-1.7521533761394068
RNU6-528P	17255064361390068e-21	1.6149411990172629	16.149411990172627
Y_RNA	17255064361390068e-21	-0.7098132641481575	-7.098132641481575
RN7SKP189	17255064361390068e-21	-1.3027994430826604	-13.027994430826604
Metazoa_SRP	17255064361390068e-21	-0.0036547904577038967	-0.036547904577038964
SNORD115-18	17255064361390068e-21	-0.9564121375696337	-9.564121375696338
SNORA24	17255064361390068e-21	1.3291141877626798	13.291141877626798
RNA5SP198	17255064361390068e-21	0.5056388577591656	5.056388577591656
RNU7-153P	17255064361390068e-21	-0.8920431754054899	-8.9204317540549
RNA5SP486	17255064361390068e-21	-1.1292087673777575	-11.292087673777576
RN7SKP47	17255064361390068e-21	-1.2199686358800181	-12.199686358800182
RN7SL153P	17255064361390068e-21	0.42703408172938123	4.270340817293812
RNU6-123P	17255064361390068e-21	-0.14353515184947693	-1.4353515184947694
SNORA3B	17255064361390068e-21	-0.13285387146447375	-1.3285387146447376
U6	17255064361390068e-21	-1.452268465579652	-14.522684655796521
RNU6-160P	17255064361390068e-21	-0.8074269899388908	-8.07426989938891
MIR219A2	17255064361390068e-21	-1.0380817293308802	-10.380817293308802
MIR4769	17255064361390068e-21	1.0869983958106497	10.869983958106497
MIR3662	17255064361390068e-21	-0.5613206974216813	-5.613206974216814
MIR4648	17255064361390068e-21	0.15231524367040195	1.5231524367040195
MIR3912	17255064361390068e-21	-0.8799648016469398	-8.799648016469398
RN7SL754P	17255064361390068e-21	-0.7211361373881955	-7.211361373881955
RNU1-120P	17255064361390068e-21	0.29275593924003945	2.9275593924003944
MIR1289-1	17255064361390068e-21	0.2955612654540169	2.955612654540169
MIR8069-2	17255064361390068e-21	-0.16948062026615573	-1.6948062026615573
MIR4783	17255064361390068e-21	-1.1491152639311049	-11.491152639311048
RN7SKP196	17255064361390068e-21	0.7522310357219687	7.522310357219687
MIR4497	17255064361390068e-21	0.5241944591062186	5.241944591062186
MIR3145	17255064361390068e-21	0.7052550653720235	7.052550653720235
MIR5092	17255064361390068e-21	-0.24262511941581366	-2.4262511941581364
MIR196A2	17255064361390068e-21	0.8639859432897165	8.639859432897165
RN7SL737P	17255064361390068e-21	-0.004876986185377696	-0.04876986185377696
MIR216A	17255064361390068e-21	-0.7705320951771547	-7.705320951771547
FAM231D	17255064361390068e-21	0.6815069824651534	6.815069824651534
MIR4431	17255064361390068e-21	-2.0465633033422708	-20.46563303342271
RN7SKP175	17255064361390068e-21	-0.8746445029920574	-8.746445029920574
MIR3169	17255064361390068e-21	0.6810635256625086	6.810635256625086
MIR4679-1	17255064361390068e-21	-0.34813855187495907	-3.481385518749591
RNU6-591P	17255064361390068e-21	0.35953795673946753	3.5953795673946756
